,Name,City,Country,IATA,ICAO
1118,Nairobi Wilson Airport,Nairobi,Kenya,WIL,HKNW
1119,Moi Air Base,Nairobi,Kenya,\N,HKRE
1120,Wajir Airport,Wajir,Kenya,WJR,HKWJ
1121,Bu Attifel Airport,Buattifel,Libya,\N,HLFL
1122,Warehouse 59e Airport,Giallo,Libya,\N,HLGL
1123,Ghat Airport,Ghat,Libya,GHT,HLGT
1124,Kufra Airport,Kufra,Libya,AKF,HLKF
1125,Benina International Airport,Benghazi,Libya,BEN,HLLB
1126,Sabha Airport,Sebha,Libya,SEB,HLLS
1127,Tripoli International Airport,Tripoli,Libya,TIP,HLLT
1128,Marsa Brega Airport,Marsa Brega,Libya,LMQ,HLMB
1129,Ras Lanuf Oil Airport,Ras Lanouf V 40,Libya,\N,HLNF
1130,Hon Airport,Hon,Libya,HUQ,HLON
1131,Dahra Airport,Dahra,Libya,\N,HLRA
1132,Ghadames East Airport,Ghadames,Libya,LTD,HLTD
1133,Zella 74 Airport,Zella 74,Libya,\N,HLZA
1134,Gisenyi Airport,Gisenyi,Rwanda,GYI,HRYG
1135,Kigali International Airport,Kigali,Rwanda,KGL,HRYR
1136,Kamembe Airport,Kamembe,Rwanda,KME,HRZA
1137,Dongola Airport,Dongola,Sudan,DOG,HSDN
1138,Damazin Airport,Damazin,Sudan,RSS,HSDZ
1139,El Fasher Airport,El Fasher,Sudan,ELF,HSFS
1140,Kassala Airport,Kassala,Sudan,KSL,HSKA
1141,Kadugli Airport,Kadugli,Sudan,KDX,HSLI
1142,El Obeid Airport,El Obeid,Sudan,EBD,HSOB
1143,Juba International Airport,Juba,South Sudan,JUB,HSSJ
1144,Malakal Airport,Malakal,Sudan,MAK,HSSM
1145,Khartoum International Airport,Khartoum,Sudan,KRT,HSSS
1146,Arusha Airport,Arusha,Tanzania,ARK,HTAR
1147,Julius Nyerere International Airport,Dar Es Salaam,Tanzania,DAR,HTDA
1148,Dodoma Airport,Dodoma,Tanzania,DOD,HTDO
1149,Iringa Airport,Iringa,Tanzania,IRI,HTIR
1150,Kilimanjaro International Airport,Kilimanjaro,Tanzania,JRO,HTKJ
1151,Lake Manyara Airport,Lake Manyara,Tanzania,LKY,HTLM
1152,Mtwara Airport,Mtwara,Tanzania,MYW,HTMT
1153,Mwanza Airport,Mwanza,Tanzania,MWZ,HTMW
1154,Pemba Airport,Pemba,Tanzania,PMA,HTPE
