,Name,City,Country,IATA,ICAO
2767,Shymkent Airport,Chimkent,Kazakhstan,CIT,UAII
2768,Uralsk Airport,Uralsk,Kazakhstan,URA,UARR
2769,Pavlodar Airport,Pavlodar,Kazakhstan,PWQ,UASP
2770,Semipalatinsk Airport,Semiplatinsk,Kazakhstan,PLX,UASS
2771,Aktobe Airport,Aktyubinsk,Kazakhstan,AKX,UATT
2772,Heydar Aliyev International Airport,Baku,Azerbaijan,GYD,UBBB
2819,Ashgabat International Airport,Ashkhabad,Turkmenistan,ASB,UTAA
2820,Turkmenbashi Airport,Krasnovodsk,Turkmenistan,KRW,UTAK
2821,Turkmenabat Airport,Chardzhou,Turkmenistan,CRZ,UTAV
2822,Dushanbe Airport,Dushanbe,Tajikistan,DYU,UTDD
2823,Bukhara Airport,Bukhara,Uzbekistan,BHK,UTSB
2824,Samarkand Airport,Samarkand,Uzbekistan,SKD,UTSS
2825,Tashkent International Airport,Tashkent,Uzbekistan,TAS,UTTT
2836,Sardar Vallabhbhai Patel International Airport,Ahmedabad,India,AMD,VAAH
2837,Akola Airport,Akola,India,AKD,VAAK
2838,Aurangabad Airport,Aurangabad,India,IXU,VAAU
2839,Chhatrapati Shivaji International Airport,Mumbai,India,BOM,VABB
2840,Bilaspur Airport,Bilaspur,India,PAB,VABI
2841,Bhuj Airport,Bhuj,India,BHJ,VABJ
2842,Belgaum Airport,Belgaum,India,IXG,VABM
2843,Vadodara Airport,Baroda,India,BDQ,VABO
2844,Raja Bhoj International Airport,Bhopal,India,BHO,VABP
2845,Bhavnagar Airport,Bhaunagar,India,BHU,VABV
2846,Daman Airport,Daman,India,NMB,VADN
2847,Deesa Airport,Deesa,India,\N,VADS
2848,Guna Airport,Guna,India,GUX,VAGN
2849,Dabolim Airport,Goa,India,GOI,VAGO
2850,Devi Ahilyabai Holkar Airport,Indore,India,IDR,VAID
2851,Jabalpur Airport,Jabalpur,India,JLR,VAJB
2852,Jamnagar Airport,Jamnagar,India,JGA,VAJM
2853,Kandla Airport,Kandla,India,IXY,VAKE
2854,Khajuraho Airport,Khajuraho,India,HJR,VAKJ
2855,Kolhapur Airport,Kolhapur,India,KLH,VAKP
2856,Keshod Airport,Keshod,India,IXK,VAKS
2857,Dr. Babasaheb Ambedkar International Airport,Nagpur,India,NAG,VANP
2858,Nashik Airport,Nasik Road,India,ISK,VAOZ
2859,Pune Airport,Pune,India,PNQ,VAPO
